time	V(1)	V(2)	V(3)	V(4)	V(5)	V(6)	V(7)	V(8)
3.120333276827982e-001	6.774593e-011	1.354897e-010	1.963364e-009	9.988763e-001	9.992506e-001	3.858282e-009	9.985023e-001	9.970090e-001
3.120450363125349e-001	6.774593e-011	1.354897e-010	1.963363e-009	9.988763e-001	9.992506e-001	3.858282e-009	9.985023e-001	9.970090e-001
3.121650000000000e-001	6.774593e-011	1.354897e-010	1.963358e-009	9.988763e-001	9.992506e-001	3.858281e-009	9.985023e-001	9.970090e-001
3.121800000000000e-001	6.774593e-011	1.354897e-010	1.963361e-009	9.988763e-001	9.992506e-001	3.858281e-009	9.985023e-001	9.970090e-001
3.124328571428572e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858281e-009	9.985023e-001	9.970090e-001
3.126857142857143e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858281e-009	9.985023e-001	9.970090e-001
3.129385714285715e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858281e-009	9.985023e-001	9.970090e-001
3.131914285714286e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858281e-009	9.985023e-001	9.970090e-001
3.134442857142857e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858281e-009	9.985023e-001	9.970090e-001
3.136971428571428e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858281e-009	9.985023e-001	9.970090e-001
3.139500000000000e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858281e-009	9.985023e-001	9.970090e-001
3.139507366071428e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858283e-009	9.985023e-001	9.970090e-001
3.139514732142857e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858284e-009	9.985023e-001	9.970090e-001
3.139522098214286e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858284e-009	9.985023e-001	9.970090e-001
3.139529464285714e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858283e-009	9.985023e-001	9.970090e-001
3.139536830357143e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858282e-009	9.985023e-001	9.970090e-001
3.139544196428571e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858280e-009	9.985023e-001	9.970090e-001
3.139551562500000e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858277e-009	9.985023e-001	9.970090e-001
3.139563524028223e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858204e-009	9.985023e-001	9.970090e-001
3.139567631016276e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858264e-009	9.985023e-001	9.970090e-001
3.139576931360201e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858324e-009	9.985023e-001	9.970090e-001
3.139581856227185e-001	6.774593e-011	1.354897e-010	1.963339e-009	9.988763e-001	9.992506e-001	3.858313e-009	9.985023e-001	9.970090e-001
3.139586725005971e-001	6.774593e-011	1.354897e-010	1.963299e-009	9.988763e-001	9.992506e-001	3.858310e-009	9.985023e-001	9.970090e-001
3.139589985933214e-001	6.774593e-011	1.354897e-010	1.963302e-009	9.988763e-001	9.992506e-001	3.858295e-009	9.985023e-001	9.970090e-001
3.139594429813314e-001	6.774593e-011	1.354897e-010	1.963355e-009	9.988763e-001	9.992506e-001	3.858285e-009	9.985023e-001	9.970090e-001
3.139599401914918e-001	6.774593e-011	1.354897e-010	1.963392e-009	9.988763e-001	9.992506e-001	3.858284e-009	9.985023e-001	9.970090e-001
3.139604910321011e-001	6.774593e-011	1.354897e-010	1.963393e-009	9.988763e-001	9.992506e-001	3.858282e-009	9.985023e-001	9.970090e-001
3.139612306071947e-001	6.774593e-011	1.354897e-010	1.963386e-009	9.988763e-001	9.992506e-001	3.858281e-009	9.985023e-001	9.970090e-001
3.139620467708363e-001	6.774593e-011	1.354897e-010	1.963365e-009	9.988763e-001	9.992506e-001	3.858282e-009	9.985023e-001	9.970090e-001
3.139643947638909e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858281e-009	9.985023e-001	9.970090e-001
3.139646506649907e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858281e-009	9.985023e-001	9.970090e-001
3.139650349335009e-001	6.774593e-011	1.354897e-010	1.963360e-009	9.988763e-001	9.992506e-001	3.858257e-009	9.985023e-001	9.970090e-001
3.139652445345065e-001	6.774593e-011	1.354897e-010	1.963359e-009	9.988763e-001	9.992506e-001	3.858210e-009	9.985023e-001	9.970090e-001
3.139654382731136e-001	6.774593e-011	1.354897e-010	1.963355e-009	9.988763e-001	9.992506e-001	3.858112e-009	9.985023e-001	9.970090e-001
3.139656728855892e-001	6.774593e-011	1.354897e-010	1.963342e-009	9.988763e-001	9.992506e-001	3.857933e-009	9.985023e-001	9.970090e-001
3.139659092784434e-001	6.774593e-011	1.354897e-010	1.963308e-009	9.988763e-001	9.992506e-001	3.857789e-009	9.985023e-001	9.970090e-001
3.139660904779289e-001	6.774593e-011	1.354897e-010	1.963258e-009	9.988763e-001	9.992506e-001	3.857816e-009	9.985023e-001	9.970090e-001
3.139662287387981e-001	6.774593e-011	1.354897e-010	1.963205e-009	9.988763e-001	9.992506e-001	3.857955e-009	9.985023e-001	9.970090e-001
3.139663823997764e-001	6.774593e-011	1.354897e-010	1.963137e-009	9.988763e-001	9.992506e-001	3.858198e-009	9.985023e-001	9.970090e-001
3.139665548809615e-001	6.774593e-011	1.354897e-010	1.963069e-009	9.988763e-001	9.992506e-001	3.858464e-009	9.985023e-001	9.970090e-001
3.139667262756138e-001	6.774593e-011	1.354897e-010	1.963044e-009	9.988763e-001	9.992506e-001	3.858600e-009	9.985023e-001	9.970090e-001
3.139668705171866e-001	6.774593e-011	1.354897e-010	1.963076e-009	9.988763e-001	9.992506e-001	3.858580e-009	9.985023e-001	9.970090e-001
3.139670132843418e-001	6.774593e-011	1.354897e-010	1.963163e-009	9.988763e-001	9.992506e-001	3.858477e-009	9.985023e-001	9.970090e-001
3.139671690525578e-001	6.774593e-011	1.354897e-010	1.963301e-009	9.988763e-001	9.992506e-001	3.858353e-009	9.985023e-001	9.970090e-001
3.139673311373146e-001	6.774593e-011	1.354897e-010	1.963453e-009	9.988763e-001	9.992506e-001	3.858281e-009	9.985023e-001	9.970090e-001
3.139674949880311e-001	6.774593e-011	1.354897e-010	1.963562e-009	9.988763e-001	9.992506e-001	3.858283e-009	9.985023e-001	9.970090e-001
3.139676674685711e-001	6.774593e-011	1.354897e-010	1.963589e-009	9.988763e-001	9.992506e-001	3.858330e-009	9.985023e-001	9.970090e-001
3.139678581828057e-001	6.774593e-011	1.354897e-010	1.963519e-009	9.988763e-001	9.992506e-001	3.858371e-009	9.985023e-001	9.970090e-001
3.139680353407154e-001	6.774593e-011	1.354897e-010	1.963418e-009	9.988763e-001	9.992506e-001	3.858375e-009	9.985023e-001	9.970090e-001
3.139684581020900e-001	6.774593e-011	1.354897e-010	1.963352e-009	9.988763e-001	9.992506e-001	3.858327e-009	9.985023e-001	9.970090e-001
3.139686925152767e-001	6.774593e-011	1.354897e-010	1.963409e-009	9.988763e-001	9.992506e-001	3.858322e-009	9.985023e-001	9.970090e-001
3.139692578897137e-001	6.774593e-011	1.354897e-010	1.963412e-009	9.988763e-001	9.992506e-001	3.858327e-009	9.985023e-001	9.970090e-001
3.139699371098473e-001	6.774593e-011	1.354897e-010	1.963384e-009	9.988763e-001	9.992506e-001	3.858311e-009	9.985023e-001	9.970090e-001
3.139709787999590e-001	6.774593e-011	1.354897e-010	1.963378e-009	9.988763e-001	9.992506e-001	3.858303e-009	9.985023e-001	9.970090e-001
3.139717220539482e-001	6.774593e-011	1.354897e-010	1.963374e-009	9.988763e-001	9.992506e-001	3.858297e-009	9.985023e-001	9.970090e-001
3.139725054866222e-001	6.774593e-011	1.354897e-010	1.963377e-009	9.988763e-001	9.992506e-001	3.858294e-009	9.985023e-001	9.970090e-001
3.139729759527336e-001	6.774593e-011	1.354897e-010	1.963374e-009	9.988763e-001	9.992506e-001	3.858292e-009	9.985023e-001	9.970090e-001
3.139734464188450e-001	6.774593e-011	1.354897e-010	1.963371e-009	9.988763e-001	9.992506e-001	3.858291e-009	9.985023e-001	9.970090e-001
3.139739168849564e-001	6.774593e-011	1.354897e-010	1.963368e-009	9.988763e-001	9.992506e-001	3.858289e-009	9.985023e-001	9.970090e-001
3.139743873510678e-001	6.774593e-011	1.354897e-010	1.963367e-009	9.988763e-001	9.992506e-001	3.858288e-009	9.985023e-001	9.970090e-001
3.139748578171792e-001	6.774593e-011	1.354897e-010	1.963365e-009	9.988763e-001	9.992506e-001	3.858287e-009	9.985023e-001	9.970090e-001
3.139753282832906e-001	6.774593e-011	1.354897e-010	1.963364e-009	9.988763e-001	9.992506e-001	3.858286e-009	9.985023e-001	9.970090e-001
3.139757987494020e-001	6.774593e-011	1.354897e-010	1.963364e-009	9.988763e-001	9.992506e-001	3.858285e-009	9.985023e-001	9.970090e-001
3.139758294270617e-001	6.774593e-011	1.354897e-010	1.963364e-009	9.988763e-001	9.992506e-001	3.858285e-009	9.985023e-001	9.970090e-001
3.139758759865148e-001	-1.652119e-007	-3.304186e-007	9.993157e-001	-2.439794e-004	9.992479e-001	-5.280209e-006	9.984917e-001	9.969879e-001
3.139758831492691e-001	-1.538854e-007	-3.077660e-007	9.993211e-001	-2.333123e-004	9.992481e-001	-4.917861e-006	9.984924e-001	9.969893e-001
3.139758979224497e-001	-1.321779e-007	-2.643516e-007	9.993319e-001	-2.116889e-004	9.992484e-001	-4.223444e-006	9.984938e-001	9.969921e-001
3.139759041898597e-001	-1.239334e-007	-2.478629e-007	9.993364e-001	-2.027526e-004	9.992486e-001	-3.959726e-006	9.984943e-001	9.969932e-001
3.139759113526140e-001	-1.151356e-007	-2.302676e-007	9.993414e-001	-1.927377e-004	9.992487e-001	-3.678325e-006	9.984949e-001	9.969943e-001
3.139759256781226e-001	-9.934897e-008	-1.986948e-007	9.993511e-001	-1.734125e-004	9.992490e-001	-3.173419e-006	9.984959e-001	9.969963e-001
3.139759323021546e-001	-9.280887e-008	-1.856148e-007	9.993554e-001	-1.648163e-004	9.992491e-001	-2.964262e-006	9.984963e-001	9.969971e-001
3.139759399859982e-001	-8.576121e-008	-1.715197e-007	9.993602e-001	-1.551394e-004	9.992492e-001	-2.738885e-006	9.984968e-001	9.969980e-001
